Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"TASK","TASKUS INC CLASS A","Industrie","Aktien","193.406,74","0,01","193.406,74","14.369,00","13,46","Vereinigte Staaten","NASDAQ","USD"
"EBIX","EBIX INC","IT","Aktien","192.892,38","0,01","192.892,38","11.863,00","16,26","Vereinigte Staaten","NASDAQ","USD"
"AUTN","AUTONEUM HOLDING AG","Zyklische Konsumgüter ","Aktien","192.287,62","0,01","192.287,62","1.264,00","152,13","Schweiz","SIX Swiss Exchange","CHF"
"FMNB","FARMERS NATIONAL BANC CORP","Financials","Aktien","192.300,50","0,01","192.300,50","16.450,00","11,69","Vereinigte Staaten","NASDAQ","USD"
"FATE","FATE THERAPEUTICS INC","Gesundheitsversorgung","Aktien","191.314,26","0,01","191.314,26","31.518,00","6,07","Vereinigte Staaten","NASDAQ","USD"
"2356","DAH SING BANKING LTD","Financials","Aktien","190.402,43","0,01","190.402,43","238.000,00","0,80","Hongkong","Hong Kong Exchanges & Clearing Ltd","HKD"
"YIT","YIT","Zyklische Konsumgüter ","Aktien","190.095,81","0,01","190.095,81","73.334,00","2,59","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"BRSP","BRIGHTSPIRE CAPITAL INC CLASS A","Financials","Aktien","189.969,60","0,01","189.969,60","33.328,00","5,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"USM","UNITED STATES CELLULAR CORP","Kommunikation","Aktien","189.991,80","0,01","189.991,80","8.945,00","21,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9974","BELC LTD","Nichtzyklische Konsumgüter","Aktien","189.079,43","0,01","189.079,43","4.200,00","45,02","Japan","Tokyo Stock Exchange","JPY"
"6080","M&A CAPITAL PARTNERS LTD","Financials","Aktien","188.701,21","0,01","188.701,21","6.700,00","28,16","Japan","Tokyo Stock Exchange","JPY"
"8585","ORIENT CORP","Financials","Aktien","188.548,89","0,01","188.548,89","22.680,00","8,31","Japan","Tokyo Stock Exchange","JPY"
"MOON","MOONPIG GROUP PLC","Zyklische Konsumgüter ","Aktien","188.583,13","0,01","188.583,13","109.597,00","1,72","Vereinigtes Königreich","London Stock Exchange","GBP"
"DXPE","DXP ENTERPRISES INC","Industrie","Aktien","188.168,40","0,01","188.168,40","7.467,00","25,20","Vereinigte Staaten","NASDAQ","USD"
"ICPT","INTERCEPT PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","188.337,68","0,01","188.337,68","10.874,00","17,32","Vereinigte Staaten","NASDAQ","USD"
